sourceid_uber,name,image_url,Coke_shows,city,food_type,Coke_in_Menu
80063dfc-696a-4ce6-a0a9-8fa18c0c6977,None,https://duyt4h9nfnj50.cloudfront.net/sku/90bf802c3b1b5e7a137817745d73d633,Coke,Southbank,Cafe,not-coke
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-2151_GMA.png,Coke,Melbourne,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/b74ae802-b0ee-40a2-abd7-e5f0ea9ce27d,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/53e493bf-c528-4150-8e70-4e5f42fbd1df,Coke,Christchurch,American,coke
8d4f67bf-920b-4d57-a056-35a0401a2eeb,None,https://duyt4h9nfnj50.cloudfront.net/sku/b46b13043343ebcd8c1ce6a4f5bb9774,Coke,None,None,None
b1e9d816-afea-4996-892f-c343b2bf1c0e,None,https://duyt4h9nfnj50.cloudfront.net/sku/7c099273fe9fb2a9997d7a377d0b0e78,Coke,None,None,None
1c0e38c3-2ffd-43d3-b950-0f308db50480,None,https://d1ralsognjng37.cloudfront.net/364b52cb-715e-4f73-808f-16d290ee6c87,Coke,Christchurch,Indian,not-coke
b1e9d816-afea-4996-892f-c343b2bf1c0e,None,https://duyt4h9nfnj50.cloudfront.net/sku/ec6e7735a7da8695c05e9bb86356da93,Coke,None,None,None
8b87a1c8-adbc-4a50-b7f1-2e23f18fdbe7,None,https://duyt4h9nfnj50.cloudfront.net/sku/326e656db0b474263b56a88952badda9,Coke,None,None,None
29a359ba-4ea6-442d-94a2-1e34d9282e63,None,https://duyt4h9nfnj50.cloudfront.net/sku/3edefd6f29d80a5d928fb825704321ea,Coke,None,None,None
b1e9d816-afea-4996-892f-c343b2bf1c0e,None,https://duyt4h9nfnj50.cloudfront.net/sku/cac1b2e6e51ba389c9a2ef4b3d24e4f4,Coke,None,None,None
96191a1a-d172-4b59-bd75-dbb547c98222,None,https://d303h3uj89fskf.cloudfront.net/UE-67_GMA.png,Coke,Christchurch,American,not-coke
a1f3d2d1-9356-4296-8b6a-21577ba1db9c,None,https://duyt4h9nfnj50.cloudfront.net/sku/a31a2f465243c1a8d82b8dfcc51c46ce,Coke,None,None,None
3e7e5339-6489-4dd0-8d37-8c37c3d0798d,None,https://d1ralsognjng37.cloudfront.net/eeb8573f-6df0-4264-9be3-377b96b5b247,Coke,Melbourne,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/b0078702-8f98-4602-9d28-62b3197073bf,Coke,Christchurch,American,coke
de8b281a-a492-4dad-ae5f-6368960cf26f,None,https://duyt4h9nfnj50.cloudfront.net/sku/50414936400694b49063d340e9ba3396,Coke,None,None,None
7e9128e3-d2d1-45ec-8cc8-af12c05d9b19,None,https://d1ralsognjng37.cloudfront.net/2d9cfdb2-d48f-43e5-b43c-e4ef6e59f23c,Coke,None,None,None
872057de-fb67-4886-9212-bda5134c6a58,None,https://duyt4h9nfnj50.cloudfront.net/sku/2d2a3cb63fc8c760f33a9155d2cb3542,Coke,None,None,None
fe9dffe9-dd05-4547-89e5-1c1ed710fbab,None,https://d1ralsognjng37.cloudfront.net/26c53760-21cd-471b-bc06-7bed1a4638b0,Coke,Christchurch,American,coke
bbbd6c98-7ecc-441e-8d99-e99b7ea89f03,None,https://duyt4h9nfnj50.cloudfront.net/sku/1e8b972e187d8690f4495ef8fa3b9ac5,Coke,None,None,None
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/d0d69320-6245-4f91-bbeb-3a765972e52d,Coke,Christchurch,American,coke
b5cbf1ab-091f-43ed-bb15-526f9a83af70,None,https://d1ralsognjng37.cloudfront.net/28fb6773-da0a-4ffa-af73-86ad4d4142f2,Coke,None,None,None
41038397-664a-4bcd-ac24-a6758175f7a0,None,https://d2f4h6un6ehgr5.cloudfront.net/UE-3712_GMA.png,Coke,Melbourne,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/ea6b4400-c4f1-4943-bf62-57958c1cc356,Coke,Christchurch,American,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/e7acbe69-4840-437c-865c-3df3d6d15fc1,Coke,Christchurch,American,coke
9ca521d5-6d25-4d9c-aebe-8c1d436aceca,None,https://duyt4h9nfnj50.cloudfront.net/sku/b3a3f4875c3274466d045727a1478608,not-Coke,None,None,None
fab8bde2-e24c-4acb-8608-9913d6e1d728,None,https://duyt4h9nfnj50.cloudfront.net/sku/3fe47556e8c22a91d2e1df1aafaa306e,not-Coke,None,None,None
51bb3a45-1dbb-4e6a-b4ca-0f01a86e52e5,None,https://duyt4h9nfnj50.cloudfront.net/sku/d44d562b6661b5d1118b164eb22cee10,not-Coke,None,None,None
900a1bbf-5483-4cda-a874-ee63118db5e2,None,https://d1ralsognjng37.cloudfront.net/af97cd3b-78f8-45de-84d3-cc4389329e36,not-Coke,None,None,None
9bee8e36-c2a1-40fc-9d6f-ce9cadc316a4,None,https://duyt4h9nfnj50.cloudfront.net/sku/7b845f9eb063ae05da87263772a87905,not-Coke,None,None,None
2f14615d-f78d-49f2-aec6-e1964f3f69ce,None,https://duyt4h9nfnj50.cloudfront.net/sku/e96b3d0399e4044453425053c676741c,not-Coke,None,None,None
410589ea-dde9-458f-b34b-96ad75efce38,None,https://duyt4h9nfnj50.cloudfront.net/sku/aac6d96fed448a7c5854450f0487ff6a,not-Coke,None,None,None
